race_x,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Open2Experience,race_y,age_bin,fromUS
13.0,36.0,False,Female,Right,AnotherPageFromTestPage,JO,5,5,5,5,5,5,5,2,5,1,5,1,5,5,5,5,5,5,5,2,5,5,5,5,1,5,1,5,5,5,4,5,5,1,4,5,5,1,2,5,1,5,5,2,5,1,2,1,5,3,27,32,27,7,22,Other,adult(25-39),False
3.0,15.0,True,Male,Right,AnotherPageFromTestPage,US,3,3,3,5,2,3,3,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,2,3,4,4,4,1,5,4,4,2,3,4,5,5,3,3,2,2,4,4,4,16,20,14,13,24,European,minor(<18),True
3.0,20.0,True,Male,Right,AnotherPageFromTestPage,US,4,3,4,2,4,2,4,2,4,2,1,5,2,3,2,2,2,2,2,2,1,5,1,5,5,5,1,5,5,4,4,5,5,2,1,5,4,3,3,4,5,1,3,1,4,3,4,3,5,4,29,35,20,31,31,European,ya(18-24),True
3.0,54.0,True,Female,Right,AnotherPageFromTestPage,CA,2,3,4,3,2,2,2,4,2,4,3,4,3,5,1,1,1,1,2,1,2,3,1,3,3,4,3,4,3,5,4,2,5,1,5,5,4,1,4,5,3,3,5,2,5,1,4,2,4,5,16,27,32,34,30,European,oa(40+),False
3.0,47.0,False,Male,Right,Other,US,2,4,5,2,4,4,4,2,2,3,3,3,4,2,4,2,4,1,2,2,4,4,1,5,1,5,2,5,4,4,2,2,3,4,2,4,3,2,2,3,3,2,4,2,5,2,5,2,5,4,22,33,17,21,30,European,oa(40+),True
4.0,17.0,False,Male,Right,AnotherPageFromTestPage,IN,3,5,4,4,3,4,2,5,4,5,5,4,5,3,4,5,5,5,4,4,4,5,4,5,2,5,4,5,5,5,3,2,5,5,2,4,3,3,3,4,3,3,5,3,3,4,3,4,5,3,13,30,20,8,24,Asian,minor(<18),False
11.0,45.0,False,Male,Right,AnotherPageFromTestPage,US,4,4,4,2,3,2,4,4,5,3,2,4,4,4,1,2,1,1,2,2,1,3,1,5,2,5,2,5,5,5,4,1,5,1,5,1,5,1,5,5,4,1,4,1,5,4,5,1,5,3,25,36,39,31,29,Asian,oa(40+),True
3.0,32.0,True,Female,Right,Google,US,2,2,5,2,4,3,2,5,1,2,5,1,5,2,4,4,5,5,4,4,1,4,3,4,1,4,2,5,4,2,4,1,5,1,4,5,5,3,5,5,4,4,2,2,3,2,4,4,2,2,20,30,32,5,21,European,adult(25-39),True
3.0,23.0,False,Female,Right,Google,NO,3,1,5,2,5,1,3,3,3,2,3,4,4,3,3,3,4,3,3,3,1,5,2,5,1,2,1,5,5,4,2,4,4,2,3,4,2,3,1,4,3,2,4,1,4,3,4,4,5,3,30,35,17,19,29,European,ya(18-24),False
11.0,23.0,True,Female,Right,AnotherPageFromTestPage,US,4,1,4,2,4,1,2,2,5,4,4,2,5,5,1,2,2,1,1,1,2,5,1,5,2,4,1,3,4,5,3,3,4,2,2,3,3,2,3,4,3,2,4,2,4,1,4,3,2,4,29,34,23,28,27,Asian,ya(18-24),True
3.0,14.0,True,Female,Right,AnotherPageFromTestPage,US,1,2,2,5,4,1,1,2,2,5,5,1,5,1,5,5,5,3,5,5,1,3,1,5,2,5,2,4,4,3,4,3,3,4,3,4,5,2,5,4,4,2,5,2,2,1,4,5,4,5,15,32,25,2,32,European,minor(<18),True
3.0,19.0,True,Male,Right,AnotherPageFromTestPage,IE,5,2,2,3,2,2,5,5,3,5,4,5,5,2,4,3,3,2,3,3,3,4,3,5,2,4,1,4,4,3,3,5,3,3,1,5,4,4,2,2,4,1,5,1,4,1,5,4,5,4,20,29,12,18,36,European,ya(18-24),False
3.0,15.0,True,Female,Right,AnotherPageFromTestPage,NZ,1,4,2,4,3,5,3,5,2,5,5,3,5,3,2,5,5,5,4,1,2,5,1,5,1,3,1,4,4,3,3,5,3,5,1,5,3,3,3,4,2,3,4,2,4,3,3,3,5,3,8,33,13,12,24,European,minor(<18),False
3.0,49.0,False,Female,Right,AnotherPageFromTestPage,FI,3,2,4,4,5,2,4,4,2,2,4,4,4,4,3,2,2,2,4,2,3,4,2,4,4,4,2,3,3,4,2,5,3,4,1,5,3,4,2,2,5,1,4,1,4,2,5,5,5,4,24,25,9,23,36,European,oa(40+),False
5.0,47.0,True,Female,Left,Google,US,1,5,2,5,1,5,1,4,2,5,5,2,3,1,2,4,3,3,2,5,2,4,1,4,2,5,1,4,4,5,3,4,5,2,1,4,4,1,3,5,3,3,5,2,5,1,5,3,5,5,3,34,24,14,33,Other,oa(40+),True
3.0,23.0,False,Female,Right,Google,BE,3,4,4,3,4,1,1,5,1,5,5,4,5,3,4,5,3,1,5,3,1,5,1,5,1,5,1,3,5,5,4,4,5,1,1,2,4,1,3,4,5,4,3,4,2,2,4,4,4,3,15,38,27,14,23,European,ya(18-24),False
3.0,19.0,False,Female,Right,AnotherPageFromTestPage,FI,1,5,2,5,2,2,1,5,1,4,5,1,5,1,5,4,2,2,4,5,3,2,5,2,3,3,4,2,2,2,4,2,5,3,2,2,4,4,4,4,4,3,5,3,4,1,4,4,4,4,6,12,26,8,30,European,ya(18-24),False
3.0,36.0,True,Male,Right,AnotherPageFromTestPage,US,3,2,1,3,5,2,1,5,2,5,4,3,5,3,4,3,3,3,5,3,1,5,4,4,1,4,2,5,4,3,5,2,4,2,4,1,5,1,5,5,5,4,3,2,4,3,4,5,4,4,15,31,36,14,28,European,adult(25-39),True
3.0,21.0,True,Female,Right,AnotherPageFromTestPage,GB,2,3,4,2,4,1,4,4,4,4,5,1,5,1,1,5,5,4,3,5,1,5,2,5,1,4,1,5,5,3,4,5,2,5,2,5,4,3,2,3,4,2,5,2,4,1,5,4,5,4,24,36,13,7,34,European,ya(18-24),False
3.0,21.0,False,Female,Right,AnotherPageFromTestPage,BE,3,1,3,1,5,1,1,2,3,5,5,1,5,2,4,5,4,4,5,5,1,5,5,5,1,3,1,5,5,3,3,5,5,5,1,5,4,1,5,5,5,1,5,1,4,1,5,5,5,5,25,32,21,4,39,European,ya(18-24),False
